"Anno di Interesse";"Territorio";"Tipo Misura";"Importo"
"2023";"ABRUZZO";"Spesa Complessiva - in rapporto al PIL (%)";"23.51"
"2023";"ABRUZZO";"Spesa Complessiva - per abitante (Euro)";"7291.93"
"2023";"ABRUZZO";"Spesa Complessiva - per Kmq (Euro)";"855605.16"
"2023";"ABRUZZO";"Spesa Complessiva - Valori Assoluti (mln)";"9268.77"
"2023";"BASILICATA";"Spesa Complessiva - in rapporto al PIL (%)";"24.18"
"2023";"BASILICATA";"Spesa Complessiva - per abitante (Euro)";"6668.72"
"2023";"BASILICATA";"Spesa Complessiva - per Kmq (Euro)";"354445.19"
"2023";"BASILICATA";"Spesa Complessiva - Valori Assoluti (mln)";"3570.47"
"2023";"CALABRIA";"Spesa Complessiva - in rapporto al PIL (%)";"30.52"
"2023";"CALABRIA";"Spesa Complessiva - per abitante (Euro)";"6460.81"
"2023";"CALABRIA";"Spesa Complessiva - per Kmq (Euro)";"781974.27"
"2023";"CALABRIA";"Spesa Complessiva - Valori Assoluti (mln)";"11904.62"
"2023";"CAMPANIA";"Spesa Complessiva - in rapporto al PIL (%)";"22.91"
"2023";"CAMPANIA";"Spesa Complessiva - per abitante (Euro)";"5346.82"
"2023";"CAMPANIA";"Spesa Complessiva - per Kmq (Euro)";"2190710.53"
"2023";"CAMPANIA";"Spesa Complessiva - Valori Assoluti (mln)";"29951.39"
"2023";"CENTRO";"Spesa Complessiva - in rapporto al PIL (%)";"19.48"
"2023";"CENTRO";"Spesa Complessiva - per abitante (Euro)";"7555.54"
"2023";"CENTRO";"Spesa Complessiva - per Kmq (Euro)";"1525548.98"
"2023";"CENTRO";"Spesa Complessiva - Valori Assoluti (mln)";"88529.44"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - in rapporto al PIL (%)";"17.62"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - per abitante (Euro)";"7637.56"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - per Kmq (Euro)";"1508518.06"
"2023";"EMILIA-ROMAGNA";"Spesa Complessiva - Valori Assoluti (mln)";"33947.09"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - in rapporto al PIL (%)";"21.20"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - per abitante (Euro)";"7994.99"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - per Kmq (Euro)";"1203643.72"
"2023";"FRIULI-VENEZIA GIULIA";"Spesa Complessiva - Valori Assoluti (mln)";"9549.47"
"2023";"ISOLE";"Spesa Complessiva - in rapporto al PIL (%)";"25.13"
"2023";"ISOLE";"Spesa Complessiva - per abitante (Euro)";"5964.06"
"2023";"ISOLE";"Spesa Complessiva - per Kmq (Euro)";"761992.19"
"2023";"ISOLE";"Spesa Complessiva - Valori Assoluti (mln)";"38050.61"
"2023";"ITALIA";"Spesa Complessiva - in rapporto al PIL (%)";"19.28"
"2023";"ITALIA";"Spesa Complessiva - per abitante (Euro)";"6966.37"
"2023";"ITALIA";"Spesa Complessiva - per Kmq (Euro)";"1360147.79"
"2023";"ITALIA";"Spesa Complessiva - Valori Assoluti (mln)";"410906.90"
"2023";"LAZIO";"Spesa Complessiva - in rapporto al PIL (%)";"18.15"
"2023";"LAZIO";"Spesa Complessiva - per abitante (Euro)";"7642.02"
"2023";"LAZIO";"Spesa Complessiva - per Kmq (Euro)";"2535546.18"
"2023";"LAZIO";"Spesa Complessiva - Valori Assoluti (mln)";"43694.31"
"2023";"LIGURIA";"Spesa Complessiva - in rapporto al PIL (%)";"22.01"
"2023";"LIGURIA";"Spesa Complessiva - per abitante (Euro)";"8312.57"
"2023";"LIGURIA";"Spesa Complessiva - per Kmq (Euro)";"2314416.07"
"2023";"LIGURIA";"Spesa Complessiva - Valori Assoluti (mln)";"12538.58"
"2023";"LOMBARDIA";"Spesa Complessiva - in rapporto al PIL (%)";"14.65"
"2023";"LOMBARDIA";"Spesa Complessiva - per abitante (Euro)";"7180.24"
"2023";"LOMBARDIA";"Spesa Complessiva - per Kmq (Euro)";"3006400.85"
"2023";"LOMBARDIA";"Spesa Complessiva - Valori Assoluti (mln)";"71762.19"
"2023";"MARCHE";"Spesa Complessiva - in rapporto al PIL (%)";"22.48"
"2023";"MARCHE";"Spesa Complessiva - per abitante (Euro)";"7472.28"
"2023";"MARCHE";"Spesa Complessiva - per Kmq (Euro)";"1186126.30"
"2023";"MARCHE";"Spesa Complessiva - Valori Assoluti (mln)";"11085.30"
"2023";"MOLISE";"Spesa Complessiva - in rapporto al PIL (%)";"25.51"
"2023";"MOLISE";"Spesa Complessiva - per abitante (Euro)";"6841.94"
"2023";"MOLISE";"Spesa Complessiva - per Kmq (Euro)";"444642.78"
"2023";"MOLISE";"Spesa Complessiva - Valori Assoluti (mln)";"1983.68"
"2023";"NORD-EST";"Spesa Complessiva - in rapporto al PIL (%)";"17.21"
"2023";"NORD-EST";"Spesa Complessiva - per abitante (Euro)";"7320.91"
"2023";"NORD-EST";"Spesa Complessiva - per Kmq (Euro)";"1357613.94"
"2023";"NORD-EST";"Spesa Complessiva - Valori Assoluti (mln)";"84702.89"
"2023";"NORD-OVEST";"Spesa Complessiva - in rapporto al PIL (%)";"16.71"
"2023";"NORD-OVEST";"Spesa Complessiva - per abitante (Euro)";"7460.37"
"2023";"NORD-OVEST";"Spesa Complessiva - per Kmq (Euro)";"2044320.27"
"2023";"NORD-OVEST";"Spesa Complessiva - Valori Assoluti (mln)";"118450.37"
"2023";"PIEMONTE";"Spesa Complessiva - in rapporto al PIL (%)";"21.24"
"2023";"PIEMONTE";"Spesa Complessiva - per abitante (Euro)";"7803.40"
"2023";"PIEMONTE";"Spesa Complessiva - per Kmq (Euro)";"1306529.36"
"2023";"PIEMONTE";"Spesa Complessiva - Valori Assoluti (mln)";"33176.05"
"2023";"PUGLIA";"Spesa Complessiva - in rapporto al PIL (%)";"26.60"
"2023";"PUGLIA";"Spesa Complessiva - per abitante (Euro)";"6282.01"
"2023";"PUGLIA";"Spesa Complessiva - per Kmq (Euro)";"1253436.44"
"2023";"PUGLIA";"Spesa Complessiva - Valori Assoluti (mln)";"24494.65"
"2023";"SARDEGNA";"Spesa Complessiva - in rapporto al PIL (%)";"26.36"
"2023";"SARDEGNA";"Spesa Complessiva - per abitante (Euro)";"6957.25"
"2023";"SARDEGNA";"Spesa Complessiva - per Kmq (Euro)";"454446.51"
"2023";"SARDEGNA";"Spesa Complessiva - Valori Assoluti (mln)";"10952.80"
"2023";"SICILIA";"Spesa Complessiva - in rapporto al PIL (%)";"24.66"
"2023";"SICILIA";"Spesa Complessiva - per abitante (Euro)";"5638.70"
"2023";"SICILIA";"Spesa Complessiva - per Kmq (Euro)";"1048908.47"
"2023";"SICILIA";"Spesa Complessiva - Valori Assoluti (mln)";"27097.82"
"2023";"SUD";"Spesa Complessiva - in rapporto al PIL (%)";"25.07"
"2023";"SUD";"Spesa Complessiva - per abitante (Euro)";"6039.74"
"2023";"SUD";"Spesa Complessiva - per Kmq (Euro)";"1099831.22"
"2023";"SUD";"Spesa Complessiva - Valori Assoluti (mln)";"81173.59"
