"Popolazione residente per età e sesso al 1° gennaio 2025 (dati provvisori)"
"Codice regione";"Regione";"Età";"Totale maschi";"Totale femmine";"Totale"
"13";"Abruzzo";0;3842;3577;7419
"13";"Abruzzo";1;4010;3653;7663
"13";"Abruzzo";2;4260;3873;8133
"13";"Abruzzo";3;4298;4163;8461
"13";"Abruzzo";4;4456;4163;8619
"13";"Abruzzo";5;4524;4308;8832
"13";"Abruzzo";6;4701;4487;9188
"13";"Abruzzo";7;5054;4718;9772
"13";"Abruzzo";8;5285;4964;10249
"13";"Abruzzo";9;5415;5045;10460
"13";"Abruzzo";10;5484;5167;10651
"13";"Abruzzo";11;5522;5197;10719
"13";"Abruzzo";12;5813;5529;11342
"13";"Abruzzo";13;6000;5470;11470
"13";"Abruzzo";14;6052;5707;11759
"13";"Abruzzo";15;6011;5571;11582
"13";"Abruzzo";16;6205;5823;12028
"13";"Abruzzo";17;6090;5747;11837
"13";"Abruzzo";18;6130;5632;11762
"13";"Abruzzo";19;6272;5804;12076
"13";"Abruzzo";20;6501;5735;12236
"13";"Abruzzo";21;6330;5703;12033
"13";"Abruzzo";22;6318;5608;11926
"13";"Abruzzo";23;6402;5856;12258
"13";"Abruzzo";24;6748;5828;12576
"13";"Abruzzo";25;6633;5897;12530
"13";"Abruzzo";26;6713;5959;12672
"13";"Abruzzo";27;6680;5909;12589
"13";"Abruzzo";28;6634;6049;12683
"13";"Abruzzo";29;6649;5885;12534
"13";"Abruzzo";30;6706;6168;12874
"13";"Abruzzo";31;6892;6286;13178
"13";"Abruzzo";32;7107;6495;13602
"13";"Abruzzo";33;7049;6567;13616
"13";"Abruzzo";34;7217;6800;14017
"13";"Abruzzo";35;7337;6701;14038
"13";"Abruzzo";36;7359;6954;14313
"13";"Abruzzo";37;7131;6912;14043
"13";"Abruzzo";38;7316;7204;14520
"13";"Abruzzo";39;7577;7437;15014
"13";"Abruzzo";40;7728;7503;15231
"13";"Abruzzo";41;7757;7549;15306
"13";"Abruzzo";42;7963;8048;16011
"13";"Abruzzo";43;8025;7869;15894
"13";"Abruzzo";44;8257;8076;16333
"13";"Abruzzo";45;8598;8455;17053
"13";"Abruzzo";46;8939;8698;17637
"13";"Abruzzo";47;9002;8775;17777
"13";"Abruzzo";48;9303;9256;18559
"13";"Abruzzo";49;9396;9669;19065
"13";"Abruzzo";50;9934;9904;19838
"13";"Abruzzo";51;9666;9981;19647
"13";"Abruzzo";52;9956;10219;20175
"13";"Abruzzo";53;9990;10537;20527
"13";"Abruzzo";54;9831;10206;20037
"13";"Abruzzo";55;10324;10608;20932
"13";"Abruzzo";56;10211;10490;20701
"13";"Abruzzo";57;10148;10704;20852
"13";"Abruzzo";58;10300;10749;21049
"13";"Abruzzo";59;10326;10756;21082
"13";"Abruzzo";60;10432;10716;21148
"13";"Abruzzo";61;9700;10205;19905
"13";"Abruzzo";62;9295;9813;19108
"13";"Abruzzo";63;8885;9828;18713
"13";"Abruzzo";64;8819;9594;18413
"13";"Abruzzo";65;8625;9412;18037
"13";"Abruzzo";66;8259;9010;17269
"13";"Abruzzo";67;8105;8812;16917
"13";"Abruzzo";68;8100;8573;16673
"13";"Abruzzo";69;7832;8722;16554
"13";"Abruzzo";70;7581;8485;16066
"13";"Abruzzo";71;7070;7889;14959
"13";"Abruzzo";72;6951;7769;14720
"13";"Abruzzo";73;6714;7906;14620
"13";"Abruzzo";74;7013;7913;14926
"13";"Abruzzo";75;7004;8030;15034
"13";"Abruzzo";76;6860;8085;14945
"13";"Abruzzo";77;6459;7502;13961
"13";"Abruzzo";78;6114;7173;13287
"13";"Abruzzo";79;4330;5392;9722
"13";"Abruzzo";80;4537;5565;10102
"13";"Abruzzo";81;4213;5380;9593
"13";"Abruzzo";82;3805;5106;8911
