"Popolazione residente per età e sesso al 1° gennaio 2025 (dati provvisori)"
"Codice ripartizione";"Ripartizione";"Età";"Totale maschi";"Totale femmine";"Totale"
"3";"Centro";0;35263;33233;68496
"3";"Centro";1;35839;33855;69694
"3";"Centro";2;37725;35647;73372
"3";"Centro";3;39472;37676;77148
"3";"Centro";4;40212;37895;78107
"3";"Centro";5;42029;39634;81663
"3";"Centro";6;44339;42102;86441
"3";"Centro";7;46590;43748;90338
"3";"Centro";8;48577;45876;94453
"3";"Centro";9;49485;47054;96539
"3";"Centro";10;51912;48738;100650
"3";"Centro";11;52747;49452;102199
"3";"Centro";12;55166;52446;107612
"3";"Centro";13;55960;52879;108839
"3";"Centro";14;57575;53908;111483
"3";"Centro";15;58144;54115;112259
"3";"Centro";16;59146;55480;114626
"3";"Centro";17;59423;54979;114402
"3";"Centro";18;59048;54986;114034
"3";"Centro";19;59022;54074;113096
"3";"Centro";20;59682;54323;114005
"3";"Centro";21;58542;53344;111886
"3";"Centro";22;58296;53259;111555
"3";"Centro";23;58482;53440;111922
"3";"Centro";24;60442;54100;114542
"3";"Centro";25;59910;53059;112969
"3";"Centro";26;61488;53907;115395
"3";"Centro";27;60770;54102;114872
"3";"Centro";28;60832;54489;115321
"3";"Centro";29;60890;54853;115743
"3";"Centro";30;60883;55761;116644
"3";"Centro";31;61445;57212;118657
"3";"Centro";32;64171;60212;124383
"3";"Centro";33;63389;60002;123391
"3";"Centro";34;65779;62206;127985
"3";"Centro";35;64770;62537;127307
"3";"Centro";36;66797;65105;131902
"3";"Centro";37;65541;64414;129955
"3";"Centro";38;65324;65052;130376
"3";"Centro";39;67860;67840;135700
"3";"Centro";40;69635;69101;138736
"3";"Centro";41;71298;71155;142453
"3";"Centro";42;73744;73650;147394
"3";"Centro";43;73820;74742;148562
"3";"Centro";44;75592;76104;151696
"3";"Centro";45;77809;79458;157267
"3";"Centro";46;81991;84010;166001
"3";"Centro";47;83979;86394;170373
"3";"Centro";48;86917;90219;177136
"3";"Centro";49;91066;94843;185909
"3";"Centro";50;94486;98929;193415
"3";"Centro";51;94131;98671;192802
"3";"Centro";52;94969;99305;194274
"3";"Centro";53;95064;100402;195466
"3";"Centro";54;94398;98193;192591
"3";"Centro";55;95594;100977;196571
"3";"Centro";56;93849;99801;193650
"3";"Centro";57;93626;100253;193879
"3";"Centro";58;94814;99929;194743
"3";"Centro";59;94681;99808;194489
"3";"Centro";60;95301;101453;196754
"3";"Centro";61;88407;95252;183659
"3";"Centro";62;84706;90843;175549
"3";"Centro";63;82440;89044;171484
"3";"Centro";64;79014;86009;165023
"3";"Centro";65;75981;82985;158966
"3";"Centro";66;71915;79810;151725
"3";"Centro";67;69943;78201;148144
"3";"Centro";68;68540;76634;145174
"3";"Centro";69;66352;74945;141297
"3";"Centro";70;64311;73498;137809
"3";"Centro";71;60802;69316;130118
"3";"Centro";72;58845;67608;126453
"3";"Centro";73;58033;67213;125246
"3";"Centro";74;58719;68359;127078
"3";"Centro";75;58350;68942;127292
"3";"Centro";76;60211;72119;132330
"3";"Centro";77;58102;70265;128367
"3";"Centro";78;55231;68615;123846
"3";"Centro";79;42035;53312;95347
"3";"Centro";80;40515;52459;92974
"3";"Centro";81;40018;53163;93181
"3";"Centro";82;36529;49726;86255
"3";"Centro";83;35394;49557;84951
"3";"Centro";84;36714;53323;90037
"3";"Centro";85;33536;49440;82976
"3";"Centro";86;30390;46406;76796
"3";"Centro";87;24999;39923;64922
"3";"Centro";88;20441;34230;54671
"3";"Centro";89;18422;31632;50054
"3";"Centro";90;14640;27050;41690
"3";"Centro";91;11628;22861;34489
"3";"Centro";92;8788;18703;27491
"3";"Centro";93;7119;15828;22947
"3";"Centro";94;5315;13413;18728
"3";"Centro";95;3586;9575;13161
"3";"Centro";96;2423;7331;9754
"3";"Centro";97;1619;5359;6978
"3";"Centro";98;1010;3823;4833
"3";"Centro";99;581;2595;3176
"3";"Centro";100;929;4290;5219
"3";"Centro";999;5696264;6008048;11704312
