"regione","capoluogo","reato","totale_delitti"
"Piemonte","Alessandria","01.0 ATTENTATI","2"
"Piemonte","Alessandria","02.0 STRAGE","0"
"Piemonte","Alessandria","03.0 OMICIDI VOLONTARI CONSUMATI","1"
"Piemonte","Alessandria","04.0 INFANTICIDI","0"
"Piemonte","Alessandria","05.0 TENTATI OMICIDI","5"
"Piemonte","Alessandria","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Alessandria","07.0 OMICIDI COLPOSI","0"
"Piemonte","Alessandria","08.0 LESIONI DOLOSE","124"
"Piemonte","Alessandria","09.0 PERCOSSE","22"
"Piemonte","Alessandria","10.0 MINACCE","128"
"Piemonte","Alessandria","11.0 INGIURIE","0"
"Piemonte","Alessandria","12.0 VIOLENZE SESSUALI","7"
"Piemonte","Alessandria","13.0 ATTI SESSUALI CON MINORENNE","3"
"Piemonte","Alessandria","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Alessandria","15.0 FURTI","1850"
"Piemonte","Alessandria","16.0 RICETTAZIONE","41"
"Piemonte","Alessandria","17.0 RAPINE","49"
"Piemonte","Alessandria","18.0 ESTORSIONI","27"
"Piemonte","Alessandria","19.0 USURA","0"
"Piemonte","Alessandria","20.0 SEQUESTRI DI PERSONA","3"
"Piemonte","Alessandria","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Alessandria","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Alessandria","23.0 RICICLAGGIO E IMPIEGO DI DENARO","3"
"Piemonte","Alessandria","24.0 TRUFFE E FRODI INFORMATICHE","460"
"Piemonte","Alessandria","25.0 INCENDI","3"
"Piemonte","Alessandria","26.0 DANNEGGIAMENTI","715"
"Piemonte","Alessandria","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","6"
"Piemonte","Alessandria","28.0 CONTRABBANDO","0"
"Piemonte","Alessandria","29.0 STUPEFACENTI","69"
"Piemonte","Alessandria","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","3"
"Piemonte","Alessandria","31.0 DELITTI INFORMATICI","134"
"Piemonte","Alessandria","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","8"
"Piemonte","Alessandria","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Alessandria","34.0 ALTRI DELITTI","807"
"Piemonte","Asti","01.0 ATTENTATI","0"
"Piemonte","Asti","02.0 STRAGE","0"
"Piemonte","Asti","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Asti","04.0 INFANTICIDI","0"
"Piemonte","Asti","05.0 TENTATI OMICIDI","1"
"Piemonte","Asti","06.0 OMICIDIO PRETERINTENZIONALE","1"
"Piemonte","Asti","07.0 OMICIDI COLPOSI","5"
"Piemonte","Asti","08.0 LESIONI DOLOSE","119"
"Piemonte","Asti","09.0 PERCOSSE","18"
"Piemonte","Asti","10.0 MINACCE","122"
"Piemonte","Asti","11.0 INGIURIE","0"
"Piemonte","Asti","12.0 VIOLENZE SESSUALI","11"
"Piemonte","Asti","13.0 ATTI SESSUALI CON MINORENNE","1"
"Piemonte","Asti","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Asti","15.0 FURTI","1712"
"Piemonte","Asti","16.0 RICETTAZIONE","37"
"Piemonte","Asti","17.0 RAPINE","47"
"Piemonte","Asti","18.0 ESTORSIONI","34"
"Piemonte","Asti","19.0 USURA","0"
"Piemonte","Asti","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Asti","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Asti","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Asti","23.0 RICICLAGGIO E IMPIEGO DI DENARO","2"
"Piemonte","Asti","24.0 TRUFFE E FRODI INFORMATICHE","304"
"Piemonte","Asti","25.0 INCENDI","4"
"Piemonte","Asti","26.0 DANNEGGIAMENTI","880"
