DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2000,2120,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2001,2330,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2002,2440,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2003,2580,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2004,2730,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2005,2880,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2006,3080,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2007,3300,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2008,3550,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2009,3680,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2010,3800,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2011,3910,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2012,3950,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2013,4030,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2014,4130,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2015,4230,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2016,4400,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2017,4550,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2018,4730,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2019,4850,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2020,4710,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2021,5190,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AL,2022,5500,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2000,37880,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2001,38230,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2002,38610,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2003,38880,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2004,39620,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2005,40270,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2006,41370,,
