FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_ADJUSTMENT,Correzione (NOTE_ADJUSTMENT),NOTE_EDITION,Edizione (NOTE_EDITION),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M1,Gen-2025,2021,59133.2,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,T_BIS__2025M1_N2,'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i "'Conti ed aggregati economici nazionali annuali"', edizione settembre 2024.',,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M1,Gen-2025,2022,59013.7,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,T_BIS__2025M1_N2,'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i "'Conti ed aggregati economici nazionali annuali"', edizione settembre 2024.',,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M1,Gen-2025,2023,58984.2,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,T_BIS__2025M1_N2,'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i "'Conti ed aggregati economici nazionali annuali"', edizione settembre 2024.',,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2014,60320.7,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2015,60229.6,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2016,60115.2,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2017,60002.3,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2018,59877.2,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2019,59729.1,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
A,Annuale,IT,Italia,POP,Popolazione media (in uso in contabilità nazionale),N,Dati grezzi,2025M6,Giu-2025,2020,59438.9,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,,,,
